"Index","Href","ResolvedUrl","DownloadUrl","Kind"
"73","http://ixa2.si.ehu.es/starsem/proc/pdf/STARSEM-SEMEVAL033.pdf","http://ixa2.si.ehu.es/starsem/proc/pdf/STARSEM-SEMEVAL033.pdf","http://ixa2.si.ehu.es/starsem/proc/pdf/STARSEM-SEMEVAL033.pdf","web"
"74","../WebDocs/NRC-Hashtag-Sentiment-Lexicon-v0.1.zip","https://saifmohammad.com/WebDocs/NRC-Hashtag-Sentiment-Lexicon-v0.1.zip","https://saifmohammad.com/WebDocs/NRC-Hashtag-Sentiment-Lexicon-v0.1.zip","web"
"75","../WebDocs/NRC-Hashtag-Sentiment-Lexicon-v0.1.zip","https://saifmohammad.com/WebDocs/NRC-Hashtag-Sentiment-Lexicon-v0.1.zip","https://saifmohammad.com/WebDocs/NRC-Hashtag-Sentiment-Lexicon-v0.1.zip","web"
"76","../WebDocs/NRC-Hashtag-Sentiment-AffLexNegLex-v1.0.zip","https://saifmohammad.com/WebDocs/NRC-Hashtag-Sentiment-AffLexNegLex-v1.0.zip","https://saifmohammad.com/WebDocs/NRC-Hashtag-Sentiment-AffLexNegLex-v1.0.zip","web"
"77","../WebDocs/NRC-Emoticon-Lexicon-v1.0.zip","https://saifmohammad.com/WebDocs/NRC-Emoticon-Lexicon-v1.0.zip","https://saifmohammad.com/WebDocs/NRC-Emoticon-Lexicon-v1.0.zip","web"
"78","../WebDocs/NRC-Emoticon-AffLexNegLex-v1.0.zip","https://saifmohammad.com/WebDocs/NRC-Emoticon-AffLexNegLex-v1.0.zip","https://saifmohammad.com/WebDocs/NRC-Emoticon-AffLexNegLex-v1.0.zip","web"
"79","../WebDocs/NRC-Sentiment-JAIR-2014.pdf","https://saifmohammad.com/WebDocs/NRC-Sentiment-JAIR-2014.pdf","https://saifmohammad.com/WebDocs/NRC-Sentiment-JAIR-2014.pdf","web"
"80","../WebDocs/JAIR14-bibtex.txt","https://saifmohammad.com/WebDocs/JAIR14-bibtex.txt","https://saifmohammad.com/WebDocs/JAIR14-bibtex.txt","web"
"81","../WebDocs/sentimentMKZ.pdf","https://saifmohammad.com/WebDocs/sentimentMKZ.pdf","https://saifmohammad.com/WebDocs/sentimentMKZ.pdf","web"
"82","Abstracts/semeval2013.bib.txt","https://saifmohammad.com/WebPages/Abstracts/semeval2013.bib.txt","https://saifmohammad.com/WebPages/Abstracts/semeval2013.bib.txt","web"
"83","../WebDocs/SemEval2014-Task9.pdf","https://saifmohammad.com/WebDocs/SemEval2014-Task9.pdf","https://saifmohammad.com/WebDocs/SemEval2014-Task9.pdf","web"
"84","../Lexicons/Yelp-restaurant-reviews.zip","https://saifmohammad.com/Lexicons/Yelp-restaurant-reviews.zip","https://saifmohammad.com/Lexicons/Yelp-restaurant-reviews.zip","web"
"85","../Lexicons/Yelp-restaurant-reviews.zip","https://saifmohammad.com/Lexicons/Yelp-restaurant-reviews.zip","https://saifmohammad.com/Lexicons/Yelp-restaurant-reviews.zip","web"
"86","https://www.yelp.ca/academic_dataset","https://www.yelp.ca/academic_dataset","https://www.yelp.ca/academic_dataset","web"
"87","../WebDocs/selected-restCats.txt","https://saifmohammad.com/WebDocs/selected-restCats.txt","https://saifmohammad.com/WebDocs/selected-restCats.txt","web"
"88","../Lexicons/Amazon-laptop-electronics-reviews.zip","https://saifmohammad.com/Lexicons/Amazon-laptop-electronics-reviews.zip","https://saifmohammad.com/Lexicons/Amazon-laptop-electronics-reviews.zip","web"
"89","../WebDocs/NRC-SemEval2014-Task4.pdf","https://saifmohammad.com/WebDocs/NRC-SemEval2014-Task4.pdf","https://saifmohammad.com/WebDocs/NRC-SemEval2014-Task4.pdf","web"
"90","http://alt.qcri.org/semeval2014/cdrom/bib/SemEval076.bib","http://alt.qcri.org/semeval2014/cdrom/bib/SemEval076.bib","http://alt.qcri.org/semeval2014/cdrom/bib/SemEval076.bib","web"
"91","../WebDocs/NRC_Yelp_Word_Aspect_Association_Lexicons.zip","https://saifmohammad.com/WebDocs/NRC_Yelp_Word_Aspect_Association_Lexicons.zip","https://saifmohammad.com/WebDocs/NRC_Yelp_Word_Aspect_Association_Lexicons.zip","web"
"92","../Lexicons/MSOL-June15-09.txt.zip","https://saifmohammad.com/Lexicons/MSOL-June15-09.txt.zip","https://saifmohammad.com/Lexicons/MSOL-June15-09.txt.zip","web"
"93","../WebDocs/Mohammad-Dunne-Dorr-SO-EMNLP09.pdf","https://saifmohammad.com/WebDocs/Mohammad-Dunne-Dorr-SO-EMNLP09.pdf","https://saifmohammad.com/WebDocs/Mohammad-Dunne-Dorr-SO-EMNLP09.pdf","web"
"94","NRC-Emotion-Lexicon.htm","https://saifmohammad.com/WebPages/NRC-Emotion-Lexicon.htm","https://saifmohammad.com/WebPages/NRC-Emotion-Lexicon.htm","web"
"95","nrc-vad.html","https://saifmohammad.com/WebPages/nrc-vad.html","https://saifmohammad.com/WebPages/nrc-vad.html","web"
"96","warmth.html","https://saifmohammad.com/WebPages/warmth.html","https://saifmohammad.com/WebPages/warmth.html","web"
"97","../worrywords.html","https://saifmohammad.com/worrywords.html","https://saifmohammad.com/worrywords.html","web"
"98","SCL.html","https://saifmohammad.com/WebPages/SCL.html","https://saifmohammad.com/WebPages/SCL.html","web"
"99","ArabicSA.html","https://saifmohammad.com/WebPages/ArabicSA.html","https://saifmohammad.com/WebPages/ArabicSA.html","web"
"100","BestWorst.html","https://saifmohammad.com/WebPages/BestWorst.html","https://saifmohammad.com/WebPages/BestWorst.html","web"
"101","NRC-Canada-Sentiment.htm","https://saifmohammad.com/WebPages/NRC-Canada-Sentiment.htm","https://saifmohammad.com/WebPages/NRC-Canada-Sentiment.htm","web"
"102","https://github.com/felipebravom/AffectiveTweets","https://github.com/felipebravom/AffectiveTweets","https://github.com/felipebravom/AffectiveTweets","github"
"103","../WebDocs/CA-poster-final.pdf","https://saifmohammad.com/WebDocs/CA-poster-final.pdf","https://saifmohammad.com/WebDocs/CA-poster-final.pdf","web"
"104","Students.html","https://saifmohammad.com/WebPages/Students.html","https://saifmohammad.com/WebPages/Students.html","web"
"105","../index.html","https://saifmohammad.com/index.html","https://saifmohammad.com/index.html","web"
"106","http://saifmohammad.com/WebPages/lexicons.html","http://saifmohammad.com/WebPages/lexicons.html","http://saifmohammad.com/WebPages/lexicons.html","web"
"107","http://saifmohammad.com/WebPages/lexicons.html","http://saifmohammad.com/WebPages/lexicons.html","http://saifmohammad.com/WebPages/lexicons.html","web"
